Field ID,Field Name,Data Type,Data Value
001,bool,decadeHeightShow,0
002,int,clusterSize,9
003,int,numseeds,1
004,int,seedXrange,6
005,int,seedYrange,2
006,int,maxTimeTillMutate,90
007,int,timeTillMutate,39
008,int,maxNumaround,9
009,bool,mateWithOtherSpecies,0
010,int,baseColorRed,234
011,int,baseColorGreen,148
012,int,baseColorBlue,136
013,bool,showBaseColor,0
014,int,overPop,87
015,int,Range,1
016,int,mateRange,4
017,int,childRange,3
018,int,childXdir,0
019,int,childYdir,0
020,int,timeToFindMate,3
021,int,mutationPcnt,39
022,int,fstart,16
023,int,fend,47
024,int,death,65
025,float,heightgrowth,0.000000
027,int,mutationFocusPcnt,37
028,int,timeAlive,0
029,bool,RainbowOn,0
030,bool,BlackDeath,1
031,bool,showAvgColor,0
